team,country_code,fifa_rank,fifa_points,confederation,confederation_code,wc_appearances,prev_wc_wins,is_host
Spain,ESP,1,1877.18,UEFA,0,16,1,0
Argentina,ARG,2,1873.33,CONMEBOL,1,18,3,0
France,FRA,3,1870.0,UEFA,0,16,2,0
England,ENG,4,1834.12,UEFA,0,16,1,0
Brazil,BRA,5,1760.46,CONMEBOL,1,22,5,0
Portugal,POR,6,1760.38,UEFA,0,9,0,0
Netherlands,NED,7,1756.27,UEFA,0,11,0,0
Morocco,MAR,8,1736.57,CAF,2,7,0,0
Belgium,BEL,9,1730.71,UEFA,0,14,0,0
Germany,GER,10,1724.15,UEFA,0,20,4,0
Croatia,CRO,11,1716.88,UEFA,0,6,0,0
Senegal,SEN,12,1706.83,CAF,2,3,0,0
Italy,ITA,13,1702.06,UEFA,0,18,4,0
Colombia,COL,14,1701.3,CONMEBOL,1,7,0,0
United States,USA,15,1681.88,CONCACAF,4,11,0,1
Mexico,MEX,16,1675.75,CONCACAF,4,17,0,1
Uruguay,URU,17,1672.62,CONMEBOL,1,14,2,0
Switzerland,SUI,18,1654.69,UEFA,0,12,0,0
Japan,JPN,19,1650.12,AFC,3,7,0,0
Iran,IRN,20,1617.02,AFC,3,6,0,0
Denmark,DEN,21,1616.75,UEFA,0,6,0,0
South Korea,KOR,22,1599.45,AFC,3,11,0,0
Ecuador,ECU,23,1591.73,CONMEBOL,1,4,0,0
Austria,AUT,24,1585.51,UEFA,0,7,0,0
Turkey,TUR,25,1582.69,UEFA,0,2,0,0
Nigeria,NGA,26,1581.55,CAF,2,7,0,0
Australia,AUS,27,1574.01,AFC,3,6,0,0
Algeria,ALG,28,1560.91,CAF,2,4,0,0
Canada,CAN,29,1559.15,CONCACAF,4,2,0,1
Ukraine,UKR,30,1557.47,UEFA,0,3,0,0
Egypt,EGY,31,1556.71,CAF,2,3,0,0
Norway,NOR,32,1553.14,UEFA,0,3,0,0
Panama,PAN,33,1539.47,CONCACAF,4,2,0,0
Poland,POL,34,1532.04,UEFA,0,9,0,0
Wales,WAL,35,1529.71,UEFA,0,2,0,0
Russia,RUS,36,1524.52,UEFA,0,0,0,0
Ivory Coast,CIV,37,1522.48,CAF,2,4,0,0
Scotland,SCO,38,1506.77,UEFA,0,0,0,0
Serbia,SRB,39,1506.34,UEFA,0,4,0,0
Paraguay,PAR,40,1501.5,CONMEBOL,1,9,0,0
Hungary,HUN,41,1496.29,UEFA,0,0,0,0
Sweden,SWE,42,1487.13,UEFA,0,0,0,0
Czechia,CZE,43,1487.0,UEFA,0,0,0,0
Slovakia,SVK,44,1485.65,UEFA,0,0,0,0
Cameroon,CMR,45,1482.39,CAF,2,9,0,0
Greece,GRE,46,1480.38,UEFA,0,0,0,0
Tunisia,TUN,47,1479.04,CAF,2,6,0,0
Congo DR,COD,48,1468.22,CAF,2,2,0,0
Romania,ROU,49,1465.78,UEFA,0,0,0,0
Venezuela,VEN,50,1465.22,CONMEBOL,1,0,0,0
Costa Rica,CRC,51,1464.24,CONCACAF,4,6,0,0
Uzbekistan,UZB,52,1462.03,AFC,3,0,0,0
Peru,PER,53,1459.57,CONMEBOL,1,9,0,0
Mali,MLI,54,1458.48,CAF,2,0,0,0
Chile,CHI,55,1457.84,CONMEBOL,1,9,0,0
Qatar,QAT,56,1454.96,AFC,3,1,0,0
Slovenia,SVN,57,1447.31,UEFA,0,0,0,0
Iraq,IRQ,58,1436.94,AFC,3,0,0,0
Saudi Arabia,KSA,59,1429.48,AFC,3,6,0,0
South Africa,RSA,60,1432.76,CAF,2,0,0,0
Jamaica,JAM,61,1362.46,CONCACAF,4,0,0,0
Bolivia,BOL,62,1330.52,CONMEBOL,1,3,0,0
New Zealand,NZL,63,1279.25,OFC,5,2,0,0
