team,year,fifa_rank,fifa_points,confederation,confederation_code,wc_appearances,prev_wc_wins,is_host,stage_reached,won
France,1998,18.0,56.0,UEFA,0,12,1,1,7,1
Brazil,1998,1.0,72.0,CONMEBOL,1,17,4,0,6,0
Croatia,1998,19.0,56.0,UEFA,0,0,0,0,5,0
Netherlands,1998,25.0,54.0,UEFA,0,7,0,0,4,0
Germany,1998,2.0,65.0,UEFA,0,14,3,0,3,0
Italy,1998,14.0,57.0,UEFA,0,14,3,0,3,0
Argentina,1998,6.0,60.0,CONMEBOL,1,13,2,0,2,0
England,1998,5.0,60.0,UEFA,0,10,1,0,2,0
Denmark,1998,27.0,53.0,UEFA,0,3,0,0,2,0
Norway,1998,7.0,60.0,UEFA,0,2,0,0,2,0
Chile,1998,9.0,59.0,CONMEBOL,1,7,0,0,2,0
Nigeria,1998,74.0,37.0,CAF,2,2,0,0,2,0
Romania,1998,22.0,55.0,UEFA,0,0,0,0,2,0
Paraguay,1998,29.0,52.0,CONMEBOL,1,7,0,0,2,0
Spain,1998,15.0,56.0,UEFA,0,10,0,0,1,0
Morocco,1998,13.0,57.0,CAF,2,3,0,0,1,0
Belgium,1998,36.0,50.0,UEFA,0,10,0,0,1,0
South Africa,1998,24.0,55.0,CAF,2,1,0,0,1,0
Saudi Arabia,1998,34.0,51.0,AFC,3,3,0,0,1,0
Tunisia,1998,21.0,55.0,CAF,2,3,0,0,1,0
Austria,1998,31.0,52.0,UEFA,0,0,0,0,1,0
Cameroon,1998,49.0,45.0,CAF,2,5,0,0,1,0
Scotland,1998,41.0,48.0,UEFA,0,0,0,0,1,0
Colombia,1998,10.0,58.0,CONMEBOL,1,3,0,0,1,0
Jamaica,1998,30.0,52.0,CONCACAF,4,0,0,0,1,0
IR Iran,1998,42.0,48.0,AFC,3,2,0,0,1,0
Mexico,1998,4.0,61.0,CONCACAF,4,12,0,0,1,0
Yugoslavia,1998,8.0,59.0,UEFA,0,0,0,0,1,0
Bulgaria,1998,35.0,50.0,UEFA,0,0,0,0,1,0
Japan,1998,12.0,58.0,AFC,3,1,0,0,1,0
Brazil,2002,2.0,784.0,CONMEBOL,1,18,4,0,7,1
Germany,2002,11.0,695.0,UEFA,0,15,3,0,6,0
Turkey,2002,22.0,654.0,UEFA,0,2,0,0,5,0
England,2002,12.0,694.0,UEFA,0,11,1,0,3,0
Spain,2002,8.0,713.0,UEFA,0,11,0,0,3,0
Senegal,2002,42.0,599.0,CAF,2,1,0,0,3,0
Sweden,2002,19.0,665.0,UEFA,0,11,0,0,2,0
Denmark,2002,20.0,657.0,UEFA,0,4,0,0,2,0
Japan,2002,32.0,634.0,AFC,3,2,0,0,2,0
Mexico,2002,7.0,716.0,CONCACAF,4,13,0,0,2,0
Belgium,2002,23.0,653.0,UEFA,0,11,0,0,2,0
Paraguay,2002,18.0,671.0,CONMEBOL,1,8,0,0,2,0
Argentina,2002,3.0,784.0,CONMEBOL,1,14,2,0,1,0
Nigeria,2002,27.0,644.0,CAF,2,3,0,0,1,0
France,2002,1.0,802.0,UEFA,0,13,1,0,1,0
Uruguay,2002,24.0,652.0,CONMEBOL,1,11,2,0,1,0
Portugal,2002,5.0,726.0,UEFA,0,4,0,0,1,0
Poland,2002,38.0,615.0,UEFA,0,0,0,0,1,0
Italy,2002,6.0,717.0,UEFA,0,15,3,0,1,0
Ecuador,2002,36.0,624.0,CONMEBOL,1,0,0,0,1,0
Cameroon,2002,17.0,672.0,CAF,2,6,0,0,1,0
Saudi Arabia,2002,34.0,627.0,AFC,3,4,0,0,1,0
South Africa,2002,37.0,623.0,CAF,2,2,0,0,1,0
Tunisia,2002,31.0,635.0,CAF,2,4,0,0,1,0
Costa Rica,2002,29.0,643.0,CONCACAF,4,4,0,0,1,0
China PR,2002,50.0,566.0,AFC,3,0,0,0,1,0
Croatia,2002,21.0,655.0,UEFA,0,1,0,0,1,0
Russia,2002,28.0,644.0,UEFA,0,5,0,0,1,0
Republic of Ireland,2002,15.0,674.0,UEFA,0,0,0,0,1,0
Slovenia,2002,25.0,649.0,UEFA,0,0,0,0,1,0
Italy,2006,13.0,728.0,UEFA,0,16,3,0,7,1
France,2006,8.0,749.0,UEFA,0,14,1,0,6,0
Germany,2006,19.0,696.0,UEFA,0,16,3,1,5,0
Portugal,2006,7.0,750.0,UEFA,0,4,0,0,4,0
England,2006,10.0,741.0,UEFA,0,12,1,0,3,0
Brazil,2006,1.0,827.0,CONMEBOL,1,19,5,0,3,0
Argentina,2006,9.0,746.0,CONMEBOL,1,14,2,0,3,0
Ukraine,2006,45.0,609.0,UEFA,0,0,0,0,3,0
Spain,2006,5.0,756.0,UEFA,0,11,0,0,2,0
Switzerland,2006,35.0,648.0,UEFA,0,9,0,0,2,0
Australia,2006,42.0,612.0,AFC,3,2,0,0,2,0
Ecuador,2006,39.0,631.0,CONMEBOL,1,2,0,0,2,0
Ghana,2006,48.0,600.0,CAF,2,1,0,0,2,0
Mexico,2006,4.0,758.0,CONCACAF,4,14,0,0,2,0
Sweden,2006,16.0,709.0,UEFA,0,11,0,0,2,0
Netherlands,2006,3.0,768.0,UEFA,0,8,0,0,1,0
Angola,2006,57.0,581.0,CAF,2,0,0,0,1,0
Japan,2006,18.0,705.0,AFC,3,3,0,0,1,0
Croatia,2006,23.0,686.0,UEFA,0,2,0,0,1,0
Tunisia,2006,21.0,693.0,CAF,2,5,0,0,1,0
Poland,2006,29.0,677.0,UEFA,0,7,0,0,1,0
Saudi Arabia,2006,34.0,651.0,AFC,3,5,0,0,1,0
Trinidad and Tobago,2006,47.0,604.0,CONCACAF,4,0,0,0,1,0
Paraguay,2006,33.0,653.0,CONMEBOL,1,9,0,0,1,0
IR Iran,2006,23.0,686.0,AFC,3,4,0,0,1,0
Costa Rica,2006,26.0,683.0,CONCACAF,4,5,0,0,1,0
Togo,2006,61.0,569.0,CAF,2,0,0,0,1,0
Serbia and Montenegro,2006,44.0,610.0,UEFA,0,0,0,0,1,0
Spain,2010,2.0,1565.0,UEFA,0,12,0,0,7,1
Netherlands,2010,4.0,1231.0,UEFA,0,9,0,0,6,0
Germany,2010,6.0,1082.0,UEFA,0,17,3,0,5,0
Uruguay,2010,16.0,899.0,CONMEBOL,1,12,2,0,4,0
Argentina,2010,7.0,1076.0,CONMEBOL,1,15,2,0,3,0
Brazil,2010,1.0,1611.0,CONMEBOL,1,20,5,0,3,0
Paraguay,2010,31.0,820.0,CONMEBOL,1,10,0,0,3,0
Ghana,2010,32.0,800.0,CAF,2,2,0,0,3,0
England,2010,8.0,1068.0,UEFA,0,13,1,0,2,0
